id,name,glottocode,year,map_name_full,sources
221,Aymara,,1750,,titus
222,Callawaya,call1235,1750,,titus
224,Jaqaru,jaqa1244,1750,,titus
225,Leko,leco1242,1750,,titus
226,Puquina,puqu1242,1750,,titus
227,South Bolivian Quechua,sout2991,1750,,titus
228,Quechua Santiago del Éstero,sant1432,1750,,titus
229,Southern Aymara,sout2996,1750,,titus
230,Uru-Chipaya,uruu1244,1750,,titus
231,Atacameño,,1750,,titus
232,Huilliche,huil1244,1750,,titus
233,Mapudungun,mapu1245,1750,,titus
234,Tehuelche,tehu1242,1750,,titus
235,Yahgan,yama1264,1750,,titus
236,Mocoví,moco1246,1750,,titus
237,Qawasqar,,1750,,titus
238,Huarpe,huar1251,1750,,titus
239,Charrúa,char1240,1750,,titus
240,Kaingang,,1750,,titus
241,Waimiri-Atroari,waim1253,1750,,titus
242,Yurakaré,yura1255,1750,,titus
243,Mosetén,mose1249,1750,,titus
244,Ignaciano,,1750,,titus
245,Puelche,,1750,,titus
246,Guaraní (Mbyá),,1750,,titus
247,Guaraní (Paraguayan),,1750,,titus
248,Kaiwá,,1750,,titus
249,Pai-Tavyterá,,1750,,titus
250,Guaraní (Avá),,1750,,titus
251,Aché-Guayakí,,1750,,titus
252,Toba,toba1269,1750,,titus
253,Pilagá,pila1245,1750,,titus
254,Mak'a,,1750,,titus
255,Niwaklé,,1750,,titus
256,Chorotí,,1750,,titus
257,Movima,movi1243,1750,,titus
258,Itené,,1750,,titus
259,Shipibo-Conibo,ship1254,1750,,titus
260,Ofayé,,1750,,titus
261,Carirí,kari1254,1750,,titus
262,Palikúr,,1750,,titus
263,Galibi Carib,gali1262,1750,,titus
264,Shebayo,,1750,,titus
265,Arawak,,1750,,titus
266,Achagua,,1750,,titus
267,Wayuu,,1750,,titus
268,Kogi,cogu1240,1750,,titus
269,Arhuaco,arhu1242,1750,,titus
270,Apalaí,apal1257,1750,,titus
271,Wayana,waya1269,1750,,titus
272,Macushi,macu1259,1750,,titus
273,Waiwai,waiw1244,1750,,titus
274,Trió,trio1238,1750,,titus
275,Ese'ejja,esee1248,1750,,titus
276,Araona,arao1248,1750,,titus
277,Lengua-Mascoy,,1750,,titus
278,Guató,,1750,,titus
279,Xavánte,xava1240,1750,,titus
280,Xerente,xere1240,1750,,titus
281,Paunaca,paun1241,1750,,titus
282,Sabané,saba1268,1750,,titus
283,Cinta Larga,cint1239,1750,,titus
284,Awetí,,1750,,titus
285,Cashibo-Cacataibo,cash1251,1750,,titus
286,Marawan,mara1408,1750,,titus
287,Aguaruna,agua1253,1750,,titus
288,Bermejo Wichí,wich1263,1750,,titus
289,Guarayó,,1750,,titus
290,Chiquitano,chiq1248,1750,,titus
291,Maxakalí,maxa1247,1750,,titus
292,Botocudo,kren1239,1750,,titus
293,Kamakã,kama1372,1750,,titus
294,Nhengatu,,1750,,titus
296,Warao,wara1303,1750,,titus
297,Yanomamö,yano1261,1750,,titus
298,Ninam,nina1238,1750,,titus
299,Sanumá,sanu1240,1750,,titus
300,Saraveca,sara1331,1750,,titus
301,Parecís,,1750,,titus
302,Bakairí,baka1277,1750,,titus
303,Ye'kuana,maqu1238,1750,,titus
304,Pemón,,1750,,titus
305,Barí,bari1297,1750,,titus
306,Piapoco,,1750,,titus
307,Cuiba,cuib1242,1750,,titus
308,Guahibo,guah1255,1750,,titus
309,Guayabero,,1750,,titus
310,Carijona,,1750,,titus
311,Secoya,,1750,,titus
312,Orejón,orej1242,1750,,titus
313,Shuar,shua1257,1750,,titus
314,Huambisa,huam1247,1750,,titus
315,Achuar,,1750,,titus
316,Jebero,jebe1250,1750,,titus
317,Chayahuita,chay1248,1750,,titus
318,Chamicuro,,1750,,titus
319,Urarina,,1750,,titus
320,Urarina,,1750,,titus
321,Candoshi,,1750,,titus
322,Záparo,zapa1253,1750,,titus
323,Auishiri,,1750,,titus
324,Sabela,,1750,,titus
325,Cofán,,1750,,titus
326,Páez,,1750,,titus
327,Guambiano,,1750,,titus
328,Awa-Cuaiquer,awac1239,1750,,titus
329,Tsafiki,colo1256,1750,,titus
330,Cha'palaa,chac1249,1750,,titus
331,Gamela,,1750,,titus
332,Tarairiu,tara1303,1750,,titus
333,Paumarí,paum1247,1750,,titus
334,Jamamadí,jama1261,1750,,titus
335,Culina,culi1244,1750,,titus
336,Machiguenga,,1750,,titus
337,Nomatsiguenga,,1750,,titus
338,Apurinã,,1750,,titus
339,Yanesha',,1750,,titus
340,Maipure,maip1246,1750,,titus
341,Curripaco,curr1243,1750,,titus
342,Baniwa,,1750,,titus
343,Paraujano,,1750,,titus
344,Wapishana,,1750,,titus
345,Atorai,,1750,,titus
346,Panare,enap1235,1750,,titus
347,Hoti,,1750,,titus
348,Piaroa,piar1243,1750,,titus
349,Sáliva,,1750,,titus
350,Bora,bora1263,1750,,titus
